skill,keywords,demand,profileCount,supply,urgency,label,url
Automatización Industrial / PLC / SCADA,PLC OR SCADA OR instrumentacion industrial OR automatizacion industrial,81,512,32,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=PLC%20OR%20SCADA%20OR%20instrumentacion%20industrial%20OR%20automatizacion%20industrial&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Manufactura Avanzada / Lean / Calidad,lean manufacturing OR calidad OR quality engineer OR manufactura,74,672,42,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=lean%20manufacturing%20OR%20calidad%20OR%20quality%20engineer%20OR%20manufactura&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Energía / Potencia / Eficiencia Energética,ingeniero electrico OR potencia OR eficiencia energetica OR energia,72,608,38,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=ingeniero%20electrico%20OR%20potencia%20OR%20eficiencia%20energetica%20OR%20energia&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Civil 3D / Gestión Digital de Obras,Civil 3D OR ingeniero civil OR gestion de obras OR construccion,68,560,35,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=Civil%203D%20OR%20ingeniero%20civil%20OR%20gestion%20de%20obras%20OR%20construccion&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Energías Renovables / Solar FV / BESS,energia solar OR energias renovables OR fotovoltaica OR BESS,88,544,34,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=energia%20solar%20OR%20energias%20renovables%20OR%20fotovoltaica%20OR%20BESS&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Microrredes / Smart Grid / Gestión Energética,microgrid OR smart grid OR gestion energetica OR medicion inteligente,77,416,26,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=microgrid%20OR%20smart%20grid%20OR%20gestion%20energetica%20OR%20medicion%20inteligente&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Movilidad Eléctrica / Infraestructura de Carga,vehiculos electricos OR EV charging OR electromovilidad OR cargadores,71,288,18,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=vehiculos%20electricos%20OR%20EV%20charging%20OR%20electromovilidad%20OR%20cargadores&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Drones / Robótica Móvil / Inspección Autónoma,drones OR robotica movil OR inspeccion autonoma OR fotogrametria,69,384,24,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=drones%20OR%20robotica%20movil%20OR%20inspeccion%20autonoma%20OR%20fotogrametria&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Gestión Inteligente del Agua,gestion del agua OR tratamiento de agua OR drenaje OR hidraulica,74,352,22,high,🟠 ALTA,https://www.linkedin.com/search/results/people/?keywords=gestion%20del%20agua%20OR%20tratamiento%20de%20agua%20OR%20drenaje%20OR%20hidraulica&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
ESG / Carbono / Economía Circular,ESG OR carbono OR economia circular OR sostenibilidad,67,480,30,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=ESG%20OR%20carbono%20OR%20economia%20circular%20OR%20sostenibilidad&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Low-Code / Power Apps,Power Apps OR low code OR no code OR Power Platform,75,480,30,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=Power%20Apps%20OR%20low%20code%20OR%20no%20code%20OR%20Power%20Platform&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Python Avanzado (ML/Data),Python machine learning OR Python data OR Python developer,80,560,35,medium,🟡 MEDIA,https://www.linkedin.com/search/results/people/?keywords=Python%20machine%20learning%20OR%20Python%20data%20OR%20Python%20developer&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
Java / Spring Boot Empresarial,Java OR Spring Boot OR backend Java,78,1200,75,ok,✅ CUBIERTA,https://www.linkedin.com/search/results/people/?keywords=Java%20OR%20Spring%20Boot%20OR%20backend%20Java&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
React / JavaScript Frontend,React OR JavaScript OR frontend developer,70,1088,68,ok,✅ CUBIERTA,https://www.linkedin.com/search/results/people/?keywords=React%20OR%20JavaScript%20OR%20frontend%20developer&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
SQL / Bases de Datos,SQL OR bases de datos OR database OR DBA,72,1120,70,ok,✅ CUBIERTA,https://www.linkedin.com/search/results/people/?keywords=SQL%20OR%20bases%20de%20datos%20OR%20database%20OR%20DBA&geoUrn=%5B%22101623149%22%5D&origin=GLOBAL_SEARCH_HEADER
