title,company,location,date,type,desc,requirements,impact,forMortals
Front-end Developer Front-end Developer,Factor IT,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Factor IT.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Full Stack Developer (Python) Full Stack Developer (Python) with verification,Perform,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Perform.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Desarrollador Desarrollador,Evaluar,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Evaluar.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Sr. QA Manual Engineer Sr. QA Manual Engineer,Devlane,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Devlane.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Lead Software Engineer in Test (SDET) Lead Software Engineer in Test (SDET) with verification,Flash,República Dominicana (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Flash.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Frontend Developer (React) - Remote Work | REF#290578 Frontend Developer (React) - Remote Work | REF#290578 with verification,BairesDev,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en BairesDev.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Full Stack Developer (React/Redux) Full Stack Developer (React/Redux) with verification,Perform,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Perform.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Desarrollador/a Full-Stack Jr Desarrollador/a Full-Stack Jr,BC Tecnología,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en BC Tecnología.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Full Stack Engineer (TypeScript & Node.js) Full Stack Engineer (TypeScript & Node.js) with verification,Applaudo,América Latina (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Applaudo.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Desarrollador Back-end Desarrollador Back-end,Agilesoft,República Dominicana (En remoto),Mayo 2026,Ingeniería de Software,Desarrollo de aplicaciones y sistemas digitales escalables para empresas dominicanas en Agilesoft.,"Python, Java, JavaScript / TypeScript | APIs REST & Microservicios | Git & CI/CD | Testing automatizado",Permite a las empresas lanzar productos digitales más rápido y con mayor calidad.,Es programar las aplicaciones y sistemas que usamos todos los días en computadoras y celulares.
Senior Data Engineer (Databricks + SQL Server) - Remote - Latin America Senior Data Engineer (Databricks + SQL Server) - Remote - Latin America,FullStack,República Dominicana (En remoto),Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en FullStack.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Sr. AI/ML Engineer Sr. AI/ML Engineer with verification,Perform,República Dominicana (En remoto),Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en Perform.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Ingeniero de Big Data - Trabajo Remoto | REF#267264 Ingeniero de Big Data - Trabajo Remoto | REF#267264 with verification,BairesDev,República Dominicana (En remoto),Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en BairesDev.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Senior Data Engineer Senior Data Engineer,Zencore,República Dominicana (En remoto),Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en Zencore.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Data Validation Engineer Data Validation Engineer with verification,Lumenalta,"Santo Domingo, Distrito Nacional, República Dominicana (En remoto)",Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en Lumenalta.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Data Engineer Data Engineer with verification,Origami Risk,"Santo Domingo, Distrito Nacional, República Dominicana (En remoto)",Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en Origami Risk.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Data Engineer Semi Senior Data Engineer Semi Senior,Factor IT,América Latina (En remoto),Mayo 2026,Ingeniería de Datos,Diseño y mantenimiento de pipelines de datos analíticos y almacenes de datos en Factor IT.,SQL Avanzado & dbt | Apache Spark / Kafka | Data Lakes & Warehouses | Python para ETL,"Garantiza que los datos del negocio estén disponibles, limpios y listos para análisis en tiempo real.",Es construir las tuberías digitales que limpian y organizan toda la información de la empresa.
Consultor de Datos y Analítica Consultor de Datos y Analítica with verification,Equifax,"Santo Domingo, República Dominicana (Presencial)",Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en Equifax.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
Analyst/Consultant (Data Analytics) - AI & Data - Shenzhen(315253) Analyst/Consultant (Data Analytics) - AI & Data - Shenzhen(315253) with verification,Deloitte,"Santo Domingo, República Dominicana (Presencial)",Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en Deloitte.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
Data Analyst Data Analyst with verification,Remote Leverage,"アト・マジョール州, Hato Mayor, República Dominicana (Presencial)",Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en Remote Leverage.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
Senior Data Analyst (Oracle Fusion) - Remote - Latin America Senior Data Analyst (Oracle Fusion) - Remote - Latin America,FullStack,América Latina (En remoto),Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en FullStack.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
ANALISTA BI ANALISTA BI,El Catador,América Latina (En remoto),Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en El Catador.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
Analista Datos Logísticos Analista Datos Logísticos,Centro Cuesta Nacional,América Latina (En remoto),Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en Centro Cuesta Nacional.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
Business Analyst Business Analyst,Ottomatik.io,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Inteligencia de Negocios / BI,Transformación de datos crudos en tableros e informes para decisiones gerenciales en Ottomatik.io.,Power BI / Tableau / Looker | SQL para análisis | Estadística y visualización | Storytelling con datos,"Acelera la toma de decisiones estratégicas con evidencia en tiempo real, mejorando resultados en un 40%.",Es convertir miles de números en gráficas fáciles de entender para que los directivos tomen mejores decisiones.
Director/a Comercial Director/a Comercial,CORE BFR,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Ciberseguridad,"Protección de activos digitales, auditoría de vulnerabilidades y respuesta a incidentes en CORE BFR.",CompTIA Security+ / CEH / CISSP | SIEM & SOC Operations | Seguridad en cloud y redes | Ethical Hacking,Previene pérdidas millonarias por ataques cibernéticos y protege la reputación corporativa.,Es ser el guardián digital que protege a la empresa de hackers y robos de información.
Cyber Security Engineer - Remote Work | REF#290765 Cyber Security Engineer - Remote Work | REF#290765 with verification,BairesDev,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Ciberseguridad,"Protección de activos digitales, auditoría de vulnerabilidades y respuesta a incidentes en BairesDev.",CompTIA Security+ / CEH / CISSP | SIEM & SOC Operations | Seguridad en cloud y redes | Ethical Hacking,Previene pérdidas millonarias por ataques cibernéticos y protege la reputación corporativa.,Es ser el guardián digital que protege a la empresa de hackers y robos de información.
Social Media Manager Social Media Manager with verification,Remote Leverage,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Ciberseguridad,"Protección de activos digitales, auditoría de vulnerabilidades y respuesta a incidentes en Remote Leverage.",CompTIA Security+ / CEH / CISSP | SIEM & SOC Operations | Seguridad en cloud y redes | Ethical Hacking,Previene pérdidas millonarias por ataques cibernéticos y protege la reputación corporativa.,Es ser el guardián digital que protege a la empresa de hackers y robos de información.
Auxiliar de RR. HH. Auxiliar de RR. HH. with verification,Sued&Fargesa SRL,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Ciberseguridad,"Protección de activos digitales, auditoría de vulnerabilidades y respuesta a incidentes en Sued&Fargesa SRL.",CompTIA Security+ / CEH / CISSP | SIEM & SOC Operations | Seguridad en cloud y redes | Ethical Hacking,Previene pérdidas millonarias por ataques cibernéticos y protege la reputación corporativa.,Es ser el guardián digital que protege a la empresa de hackers y robos de información.
Gerente Senior Regional de Seguridad y TI Gerente Senior Regional de Seguridad y TI,Multicómputos,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Ciberseguridad,"Protección de activos digitales, auditoría de vulnerabilidades y respuesta a incidentes en Multicómputos.",CompTIA Security+ / CEH / CISSP | SIEM & SOC Operations | Seguridad en cloud y redes | Ethical Hacking,Previene pérdidas millonarias por ataques cibernéticos y protege la reputación corporativa.,Es ser el guardián digital que protege a la empresa de hackers y robos de información.
Gerente De Seguridad Gerente De Seguridad,Truckslogic,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Ciberseguridad,"Protección de activos digitales, auditoría de vulnerabilidades y respuesta a incidentes en Truckslogic.",CompTIA Security+ / CEH / CISSP | SIEM & SOC Operations | Seguridad en cloud y redes | Ethical Hacking,Previene pérdidas millonarias por ataques cibernéticos y protege la reputación corporativa.,Es ser el guardián digital que protege a la empresa de hackers y robos de información.
Electrical BIM Specialist Electrical BIM Specialist,ENG,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en ENG.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Spanish AI Data Trainer - Remote Spanish AI Data Trainer - Remote,YO IT Consulting,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en YO IT Consulting.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Asesor de preventa- Sector tecnología Asesor de preventa- Sector tecnología,Nexsys Centroamérica y Caribe,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en Nexsys Centroamérica y Caribe.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
BI Engineer (Oracle Fusion Reporting) - Remote - Latin America BI Engineer (Oracle Fusion Reporting) - Remote - Latin America,FullStack,"San Pedro de Macorís, San Pedro de Macorís, República Dominicana (En remoto)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en FullStack.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
SUBGERENTE SOPORTE OPERACIONAL (INFOCENTRO) SUBGERENTE SOPORTE OPERACIONAL (INFOCENTRO) with verification,Banco Popular Dominicano,"San Pedro de Macorís, San Pedro de Macorís, República Dominicana (En remoto)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en Banco Popular Dominicano.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Soporte Operativo Junior Soporte Operativo Junior,BC Tecnología,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en BC Tecnología.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Technology-Java/Frontend/Testing/Mobile/Devops/AI Technology-Java/Frontend/Testing/Mobile/Devops/AI,Accenture,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en Accenture.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Multimodal AI Content Specialist - Intermediate (AI Community) Multimodal AI Content Specialist - Intermediate (AI Community),TELUS International AI Data Solutions,América Latina (En remoto),Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en TELUS International AI Data Solutions.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
SharePoint Administrator / Microsoft 365 SharePoint Administrator / Microsoft 365 with verification,Applaudo,América Latina (En remoto),Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en Applaudo.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
IT Advisor IV (911 Program Liaison and Technical Advisor) IT Advisor IV (911 Program Liaison and Technical Advisor),ATSG Corporation,"アト・マジョール州, Hato Mayor, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en ATSG Corporation.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Subgerente de Sistemas de Información Subgerente de Sistemas de Información,Consorcio de Tarjetas Dominicanas (CardNET),"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en Consorcio de Tarjetas Dominicanas (CardNET).","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Ingeniero(a) III agregación core IP y radio (Temporal) Ingeniero(a) III agregación core IP y radio (Temporal) with verification,Claro RD,"Santo Domingo, Distrito Nacional, República Dominicana (Presencial)",Mayo 2026,Cloud & Infraestructura,"Gestión de infraestructura en la nube, redes y sistemas de alta disponibilidad en Claro RD.","AWS / Azure / GCP Certified | Kubernetes & Docker | Terraform & Ansible | Redes: switches, firewalls",Asegura 99.9% de disponibilidad de los sistemas digitales de la organización.,Es mantener encendidos y seguros todos los servidores y redes que hacen funcionar la empresa.
Agentic Python Engineer - Remote - Latin America Agentic Python Engineer - Remote - Latin America,FullStack,"Santo Domingo Este, Santo Domingo, República Dominicana (En remoto)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en FullStack.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Python Developer - Remote Python Developer - Remote,YO IT Consulting,"Santo Domingo Este, Santo Domingo, República Dominicana (En remoto)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en YO IT Consulting.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Backend Python Developer (APIs & Integrations) Backend Python Developer (APIs & Integrations),Segadty,América Latina (En remoto),Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Segadty.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Python Engineer - Latin America - Remote Python Engineer - Latin America - Remote,Azumo,"Santo Domingo, Distrito Nacional, República Dominicana (En remoto)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Azumo.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
Machine Learning Engineer Machine Learning Engineer with verification,Lumenalta,"Santo Domingo, Distrito Nacional, República Dominicana (En remoto)",Mayo 2026,IA y Automatización,Implementación de soluciones de inteligencia artificial y automatización de procesos operativos en Lumenalta.,Python / TensorFlow / PyTorch | Modelos LLM y IA Generativa | MLOps & Pipelines | Automatización RPA,Incrementa la eficiencia operativa hasta un 70% reduciendo tareas manuales repetitivas.,Es usar computadoras que aprenden solas para hacer trabajos repetitivos sin intervención humana.
