portal,source_key,source_url,query,title,company,location,category,salary_min,salary_max,salary_mid,currency,captured_at,evidence
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Asesor de Marketplace,Asesor de Marketplace,"Steren Santo Domingo Oeste, Santo Domingo",Ingeniería de Datos / BI,46000.0,46000.0,46000.0,DOP,2026-05-29T09:19:17," 46,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Customer service representative,Customer service representative,"Data Vimenca SA Santiago, Santiago",Ingeniería de Datos / BI,36000.0,36000.0,36000.0,DOP,2026-05-29T09:19:17," 36,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Reporting Analyst,Reporting Analyst,"VoiceTeam Santiago, Santiago",Ingeniería de Datos / BI,111111.0,111111.0,111111.0,DOP,2026-05-29T09:19:17," 111,111.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Accounts Payable Clerk,Accounts Payable Clerk,"Sewn Products, INC. Santiago, Santiago",Ingeniería de Datos / BI,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:17," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Líder de canales digitales,Líder de canales digitales,"Steren Santo Domingo Oeste, Santo Domingo",Ingeniería de Datos / BI,46000.0,46000.0,46000.0,DOP,2026-05-29T09:19:17," 46,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,After Sales Customer Service Representative,After Sales Customer Service Representative,"FLS solar dominicana srl Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Datos / BI,40000.0,40000.0,40000.0,DOP,2026-05-29T09:19:17," 40,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Sales representative,Sales representative,"Data Vimenca SA Santiago, Santiago",Ingeniería de Datos / BI,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:17," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=data,data,Territory Sales Manager,Territory Sales Manager,"Endureed Higüey, La Altagracia",Ingeniería de Datos / BI,89325.0,89325.0,89325.0,DOP,2026-05-29T09:19:17," 89,325.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Auxiliar soporte técnico,Auxiliar soporte técnico,"UD GROUP DOMINICANA Santiago, Santiago",No clasificado,28000.0,28000.0,28000.0,DOP,2026-05-29T09:19:23," 28,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Analista soporte técnico,Analista soporte técnico,"Importante empresa del sector Santo Domingo de Guzmán, Distrito Nacional",No clasificado,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:23," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Técnico en instalaciones y garantías,Técnico en instalaciones y garantías,"Steren Santo Domingo Este, Santo Domingo",No clasificado,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:23," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Servicio al cliente gascue,Servicio al cliente gascue,"wmac consultoria y asesoria de recursos humanos srl Santo Domingo de Guzmán, Distrito Nacional",No clasificado,23000.0,23000.0,23000.0,DOP,2026-05-29T09:19:23," 23,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Asistente vendedor,Asistente vendedor,"INDUBAN Santo Domingo de Guzmán, Distrito Nacional",No clasificado,12000.0,12000.0,12000.0,DOP,2026-05-29T09:19:23," 12,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Asesor crédito,Asesor crédito,"casfi motors Santo Domingo de Guzmán, Distrito Nacional",No clasificado,45000.0,45000.0,45000.0,DOP,2026-05-29T09:19:23," 45,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Auxiliar administrativo contable,Auxiliar administrativo contable,"Desarrollate Consulting Aquino Viloria Santo Domingo Este, Santo Domingo",No clasificado,24998.0,24998.0,24998.0,DOP,2026-05-29T09:19:23," 24,998.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=soporte%20tecnico,soporte tecnico,Agente de ventas piso,Agente de ventas piso,"PLASTICMETAL Santiago, Santiago",No clasificado,27000.0,27000.0,27000.0,DOP,2026-05-29T09:19:23," 27,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Ejecutiva de ventas y representante de marca,Ejecutiva de ventas y representante de marca,"VOOWIN RD SRL Bonao, Monseñor Nouel",Cloud / Infraestructura,45000.0,45000.0,45000.0,DOP,2026-05-29T09:19:25," 45,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Encargado de redes sociales,Encargado de redes sociales,"Hua Yang SRL Santo Domingo Este, Santo Domingo",Ciberseguridad,23500.0,23500.0,23500.0,DOP,2026-05-29T09:19:25," 23,500.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Community manager,Community manager,"Caracas Consulting Group Santo Domingo de Guzmán, Distrito Nacional",Cloud / Infraestructura,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:25," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Administrador De Redes E informática,Administrador De Redes E informática,"SOLORZANO Y ASOCIADOS CONSULTORIA EMPRESARIAL Santo Domingo Este, Santo Domingo",Cloud / Infraestructura,45000.0,45000.0,45000.0,DOP,2026-05-29T09:19:25," 45,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Técnico Instalador de Fibra Óptica y Redes UTP,Técnico Instalador de Fibra Óptica y Redes UTP,"servicios ADDDNET Santiago, Santiago",Cloud / Infraestructura,17000.0,17000.0,17000.0,DOP,2026-05-29T09:19:25," 17,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Vendedor/a y Servicio al Cliente,Vendedor/a y Servicio al Cliente,"PROLAND CONSULTING SRL Santo Domingo Este, Santo Domingo",Cloud / Infraestructura,24000.0,24000.0,24000.0,DOP,2026-05-29T09:19:25," 24,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Ingeniero en Sistemas,Ingeniero en Sistemas,"ESPARTIMP Santo Domingo Este, Santo Domingo",Cloud / Infraestructura,22222.0,22222.0,22222.0,DOP,2026-05-29T09:19:25," 22,222.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=redes,redes,Especialista de Marketing – En inglés,Especialista de Marketing – En inglés,"Sewn Products, INC. Santiago, Santiago",Cloud / Infraestructura,75000.0,75000.0,75000.0,DOP,2026-05-29T09:19:25," 75,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ciberseguridad,ciberseguridad,Gestor de Procesos Organizacionales,Gestor de Procesos Organizacionales,"Atica Group Santo Domingo de Guzmán, Distrito Nacional",Ciberseguridad,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:28," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=cloud,cloud,Auditor calidad,Auditor calidad,"Cloud Manufacturing Tamboril, Santiago",Cloud / Infraestructura,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:31," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Gerente de tienda,Gerente de tienda,"Importante empresa del sector Santo Domingo Este, Santo Domingo",No clasificado,43000.0,43000.0,43000.0,DOP,2026-05-29T09:19:35," 43,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Supervisor de tiendas,Supervisor de tiendas,"Steren Santo Domingo Este, Santo Domingo",No clasificado,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:35," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Encargado de IT,Encargado de IT,"Importante empresa del sector Retail Santo Domingo de Guzmán, Distrito Nacional",No clasificado,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:35," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Ejecutivo de Negocios para Santo Domingo,Ejecutivo de Negocios para Santo Domingo,"BP Medical Santo Domingo de Guzmán, Distrito Nacional",No clasificado,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:35," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Ejecutivo de Negocios para Santiago,Ejecutivo de Negocios para Santiago,"BP Medical Santiago, Santiago",No clasificado,11111.0,11111.0,11111.0,DOP,2026-05-29T09:19:35," 11,111.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Ejecutivo de Negocios para la vega,Ejecutivo de Negocios para la vega,"BP Medical La Vega, La Vega",No clasificado,28000.0,28000.0,28000.0,DOP,2026-05-29T09:19:35," 28,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Ejecutivo de cuentas / Asesor de Ventas,Ejecutivo de cuentas / Asesor de Ventas,"Centro Dominicano de Tecnología Científica S.R.L. Santo Domingo Oeste, Santo Domingo",No clasificado,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:35," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Ejecutivo/a de cuenta,Ejecutivo/a de cuenta,"Centro Dominicano de Tecnología Científica S.R.L. Santo Domingo Oeste, Santo Domingo",No clasificado,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:35," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Subgerente de tienda,Subgerente de tienda,"Steren Santo Domingo de Guzmán, Distrito Nacional",No clasificado,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:35," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20tecnologia,gerente tecnologia,Coordinador de Infraestructura y Soporte,Coordinador de Infraestructura y Soporte,"Clickteck, SRL Santo Domingo de Guzmán, Distrito Nacional",Cloud / Infraestructura,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:35," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20de%20sistemas,gerente de sistemas,Coordinador de SGC y Mejora Continua,Coordinador de SGC y Mejora Continua,"Cap Cana Higüey, La Altagracia",Ingeniería de Software,123456.0,123456.0,123456.0,DOP,2026-05-29T09:19:37," 123,456.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20de%20sistemas,gerente de sistemas,Gestor de documentación,Gestor de documentación,"LA NACIONAL Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Software,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:37," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=gerente%20de%20sistemas,gerente de sistemas,Desarrollador Senior,Desarrollador Senior,"PROLAND CONSULTING SRL Santo Domingo Este, Santo Domingo",Ingeniería de Software,80000.0,80000.0,80000.0,DOP,2026-05-29T09:19:37," 80,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=director%20tecnologia,director tecnologia,Ing Agronomo,Ing Agronomo,"EkoFlora Santiago, Santiago",No clasificado,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:39," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=jefe%20de%20sistemas,jefe de sistemas,Camarero/a,Camarero/a,"Grupo Conuco Santo Domingo de Guzmán, Distrito Nacional",Ingeniería de Software,18984.0,18984.0,18984.0,DOP,2026-05-29T09:19:41," 18,984.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=coordinador%20infraestructura,coordinador infraestructura,Encargado Infraestructura de la Tecnología,Encargado Infraestructura de la Tecnología,"Alerta SRL Santiago, Santiago",Cloud / Infraestructura,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:44," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=preventa,preventa,Vendedor de Ruta,Vendedor de Ruta,"ALMACEN VILLA GARCIA Santo Domingo Norte, Santo Domingo",No clasificado,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:46," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Ingeniero civil,Ingeniero civil,"Caracas Consulting Group Santo Domingo de Guzmán, Distrito Nacional",Ingeniería Civil / Infraestructura,30000.0,30000.0,30000.0,DOP,2026-05-29T09:19:48," 30,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Ingeniero civil,Ingeniero civil,"Grupo Pedralbes Higüey, La Altagracia",Ingeniería Civil / Infraestructura,80000.0,80000.0,80000.0,DOP,2026-05-29T09:19:48," 80,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Ingeniero civil,Ingeniero civil,"MR Gestion Humana Santo Domingo Norte, Santo Domingo",Ingeniería Civil / Infraestructura,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:48," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Ingeniero civil,Ingeniero civil,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Oeste, Santo Domingo",Ingeniería Civil / Infraestructura,70000.0,70000.0,70000.0,DOP,2026-05-29T09:19:48," 70,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Ingeniero civil,Ingeniero civil,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Este, Santo Domingo",Ingeniería Civil / Infraestructura,69999.0,69999.0,69999.0,DOP,2026-05-29T09:19:48," 69,999.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Ingeniero residente,Ingeniero residente,"Envirotec Santo Domingo de Guzmán, Distrito Nacional",Ingeniería Civil / Infraestructura,28000.0,28000.0,28000.0,DOP,2026-05-29T09:19:48," 28,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Encargado de compras internacionales,Encargado de compras internacionales,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Oeste, Santo Domingo",Ingeniería Civil / Infraestructura,80000.0,80000.0,80000.0,DOP,2026-05-29T09:19:48," 80,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20civil,ingeniero civil,Arquitecto ingeniero,Arquitecto ingeniero,"COBAMA SRL Santiago, Santiago",Ingeniería Civil / Infraestructura,70000.0,70000.0,70000.0,DOP,2026-05-29T09:19:48," 70,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,Ingeniero Industrial,Ingeniero Industrial,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Oeste, Santo Domingo",Ingeniería Industrial,50000.0,50000.0,50000.0,DOP,2026-05-29T09:19:50," 50,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,Coordinador Operaciones,Coordinador Operaciones,"Caracas Consulting Group Santo Domingo de Guzmán, Distrito Nacional",Ingeniería Industrial,35000.0,35000.0,35000.0,DOP,2026-05-29T09:19:50," 35,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,Inspector de Calidad,Inspector de Calidad,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Este, Santo Domingo",Ingeniería Industrial,40000.0,40000.0,40000.0,DOP,2026-05-29T09:19:50," 40,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,Ingeniero,Ingeniero,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Este, Santo Domingo",Ingeniería Industrial,44999.0,44999.0,44999.0,DOP,2026-05-29T09:19:50," 44,999.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,Diseño y Estructuras,Diseño y Estructuras,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Oeste, Santo Domingo",Ingeniería Industrial,80000.0,80000.0,80000.0,DOP,2026-05-29T09:19:50," 80,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,pasante de ingenieria,pasante de ingenieria,"GVTEC SRL Santo Domingo de Guzmán, Distrito Nacional",Ingeniería Industrial,15000.0,15000.0,15000.0,DOP,2026-05-29T09:19:50," 15,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20industrial,ingeniero industrial,Recepcionista asistente administrativo,Recepcionista asistente administrativo,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Oeste, Santo Domingo",Ingeniería Industrial,12000.0,12000.0,12000.0,DOP,2026-05-29T09:19:50," 12,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20de%20proyectos,ingeniero de proyectos,Ing. Encargado de Proyecto,Ing. Encargado de Proyecto,"MR Gestion Humana Santo Domingo Oeste, Santo Domingo",Ingeniería Civil / Infraestructura,90000.0,90000.0,90000.0,DOP,2026-05-29T09:19:57," 90,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=ingeniero%20de%20proyectos,ingeniero de proyectos,Supervisor de Operaciones,Supervisor de Operaciones,"Importante empresa del sector Santiago, Santiago",Ingeniería Industrial,40000.0,40000.0,40000.0,DOP,2026-05-29T09:19:57," 40,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=calidad,calidad,Bioanalista y Encargada de Calidad,Bioanalista y Encargada de Calidad,"IntraRHecursos Higüey, La Altagracia",Ingeniería de Datos / BI,49999.0,49999.0,49999.0,DOP,2026-05-29T09:19:59," 49,999.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=calidad,calidad,Supervisor y control de calidad,Supervisor y control de calidad,"Luis Minaya& Co Santo Domingo Este, Santo Domingo",Manufactura / Calidad,90000.0,90000.0,90000.0,DOP,2026-05-29T09:19:59," 90,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=calidad,calidad,Asistente calidad,Asistente calidad,"Fumicontrol, S.R.L. Higüey, La Altagracia",Manufactura / Calidad,29000.0,29000.0,29000.0,DOP,2026-05-29T09:19:59," 29,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=calidad,calidad,Encargado de Calidad,Encargado de Calidad,"J&J SRL San Gregorio de Nigua, San Cristóbal",Manufactura / Calidad,40000.0,40000.0,40000.0,DOP,2026-05-29T09:19:59," 40,000.00 $ (Mensual)"
Computrabajo RD,computrabajo,https://do.computrabajo.com/ofertas-de-trabajo/?q=calidad,calidad,Inspector calidad,Inspector calidad,"PROYECTOS INDUSTRIALES, SRL PINSA Santo Domingo Oeste, Santo Domingo",Manufactura / Calidad,122055.0,122055.0,122055.0,DOP,2026-05-29T09:19:59," 122,055.00 $ (Mensual)"
